name,suburb,category,lng,lat,value,vouchers
Little Steamer,City,food & drinks,149.1268246,-35.2793791,1730,53
Mookie Burger,City,food & drinks,149.1320518,-35.2770055,690,38
Multi Yummy,City,food & drinks,149.1259097,-35.279378,770,32
Shook,City,food & drinks,149.1268246,-35.2793791,1580,83
Tasuke,City,food & drinks,149.1302697,-35.2789078,470,21
Terra,City,food & drinks,149.1270195,-35.2785395,1730,82
Token Arcade & Kitchen,City,food & drinks,149.1300092,-35.2809368,370,19
Amici Wine Bar & Deli,City,food & drinks,149.1288598,-35.27847789,1280,32
Handy Seven,Conder,retail,149.0924747,-35.457682,1610,36
M & K Meats,Conder,retail,149.0924747,-35.457682,1660,35
Canberra Jewellery Repair & Restoration,Cook,retail,149.0635884,-35.2591422,1100,22
Emma Strapps Shiatsu,Cook,personal care,149.063756,-35.2590383,120,3
Little Oink,Cook,food & drinks,149.0635185,-35.2591111,240,17
To All My Friends,Cook,food & drinks,149.0634528,-35.2591213,480,17
Capital Chemist Crace,Crace,retail,149.107315,-35.2020564,3520,104
Daana,Curtin,food & drinks,149.0801637,-35.3331795,860,19
Deakin Iga Supermarket,Deakin,retail,149.1080492,-35.315011,8720,253
EQ Cafe & Lounge,Deakin,food & drinks,149.0973932,-35.320475,570,22
7FA.EVENTS,Dickson,things to do,149.1352298,-35.2506136,180,8
Birdieball Australia,Dickson,retail,149.139722,-35.2525,50,1
Capital Chemist Dickson,Dickson,retail,149.1388023,-35.25042,5630,205
Centrepiece Creol,Dickson,retail,149.1392721,-35.2502635,20,1
CG's Discount Tobacconist & Gifts,Dickson,retail,149.1392721,-35.2502635,50,1
Chic Gourmet,Dickson,food & drinks,149.1363701,-35.2507064,6460,168
Chongqing Street Noodle,Dickson,food & drinks,149.1363986,-35.2505346,1660,107
Co.BAR,Dickson,food & drinks,149.1363181,-35.2509868,2750,85
Cosmo Hair & Beauty,Dickson,personal care,149.1358418,-35.2496307,690,15
Deji Asian Supermarket,Dickson,retail,149.1363799,-35.2506612,44850,1286
Dickson Dumpling House,Dickson,food & drinks,149.1363642,-35.2513631,2900,95
Flavours of Jiangnan,Dickson,food & drinks,149.1376109,-35.2516275,630,22
Folks Gallery,Dickson,food & drinks,149.1370319,-35.2515734,1210,45
Hangari Kimchi,Dickson,food & drinks,149.1365848,-35.2497131,2330,76
Hanok Korean BBQ Dickson,Dickson,food & drinks,149.136369,-35.2494368,4790,115
Hing Shing Butchery,Dickson,retail,149.1365805,-35.24962212,8200,273
Holy Nails Spa/Queen Bee Beauty Studio,Dickson,personal care,149.1394444,-35.2502778,370,15
Jimmy's Place,Dickson,food & drinks,149.1368264,-35.24953798,10610,278
KaransKloset,Dickson,retail,149.1392721,-35.2502635,70,2
Little Wu Jianbing,Dickson,food & drinks,149.1375122,-35.2516175,640,39
Lost River Meat,Dickson,food & drinks,149.1374279,-35.2505604,12920,371
Mega Convenience Store,Dickson,retail,149.1371859,-35.2495471,29600,890
MK Butcher,Dickson,retail,149.1370319,-35.2515734,11110,344
My Mom's Yangpyeong Haejanggook,Dickson,food & drinks,149.1364235,-35.2493046,2410,81
My Rainbow Dreams,Dickson,food & drinks,149.1392721,-35.2502635,220,10
Noodle Choice,Dickson,food & drinks,149.1369842,-35.2509193,110,5
Panda Fresh Mart,Dickson,food & drinks,149.1369418,-35.2504733,23320,927
"Saigon Asian Food, Retail & Wholesale",Dickson,food & drinks,149.1391977,-35.2505753,30510,764
Sharetea Dickson,Dickson,food & drinks,149.1375122,-35.2516175,880,76
Soundbox Karaoke & Bar,Dickson,things to do,149.1369418,-35.2504733,1410,46
Spilt Milk Bar,Dickson,food & drinks,149.1360254,-35.2513886,830,54
Super Bao,Dickson,food & drinks,149.1370319,-35.2515734,2400,81
Tak Kee Roast Inn,Dickson,food & drinks,149.1368523,-35.2506696,9300,418
The Scholar Chinese Seafood Restaurant,Dickson,food & drinks,149.1364072,-35.2504443,7650,230
The Source Bulk Foods Dickson,Dickson,retail,149.1397664,-35.2506133,1390,59
Tip Toe Nail Salon,Dickson,personal care,149.1390244,-35.2505063,70,4
Top Goods,Dickson,retail,149.1376416,-35.2501611,2900,75
Trevs @ Dickson,Dickson,food & drinks,149.1357955,-35.249827,1120,33
Trove Canberra,Dickson,retail,149.1392721,-35.2502635,640,26
Tune Bikeworks,Dickson,retail,149.1391123,-35.2503505,1100,25
Two Sisters Lao Thai Cuisine,Dickson,food & drinks,149.1375001,-35.2499963,1680,50
Wukong Hotpot & Super Emoji,Dickson,food & drinks,149.1368739,-35.2514243,29810,878
WuYu Cuisine,Dickson,food & drinks,149.1368728,-35.2503459,1810,57
Xi'an Famous Food Dickson,Dickson,food & drinks,149.1369418,-35.2504733,2030,120
Zambrero Dickson,Dickson,food & drinks,149.137305,-35.249488,130,10
Here Collective,Downer,retail,149.144608,-35.245264,10130,211
Playground Training,Downer,personal care,149.1470326,-35.2454743,1370,28
Beautique Smiles,Dunlop,personal care,149.0291722,-35.1890218,50,1
House of Desserts,Dunlop,food & drinks,149.0316891,-35.1911254,480,21
